N� EXPEDIENTE;DISTRITO;FECHA DENUNCIA;ORDENANZA;ART�CULO;CALIFICACI�N ; CUANT�A ; FECHA INICIO ; FECHA TERMINACI�N;CAUSA TERMINACION
131/2017/00001;CENTRO;12/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;07/04/2017;SANCION
131/2017/00002;CENTRO;13/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;10/03/2017;SANCION
131/2017/00003;CENTRO;06/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;18/03/2017;SANCION
131/2017/00004;CENTRO;06/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;30/06/2017;SANCION
131/2017/00010;CENTRO;06/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;13/03/2017;SANCION
131/2017/00011;CENTRO;06/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;24/07/2017;SANCION
131/2017/00016;CENTRO;06/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;17/07/2017;SANCION
131/2017/00028;CENTRO;06/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;19/04/2017;SANCION
131/2017/00030;CENTRO;06/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;29/01/2018;SANCION
131/2017/00034;CENTRO;06/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;29/05/2017;SANCION
131/2017/00035;CENTRO;06/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;20/02/2017;SANCION
131/2017/00038;CENTRO;06/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;10/07/2017;SANCION
131/2017/00039;CENTRO;05/02/2016;OLEPGR;87.1 a);GRAVE;751;03/01/2017;12/07/2017;SANCION
131/2017/00392;CENTRO;18/11/2016;OLEPGR;86.1 h);LEVE;500;10/01/2017;27/06/2017;SANCION
131/2017/01758;CENTRO;24/12/2016;OLEPGR;86.2 d);LEVE;200;18/01/2017;26/06/2017;SANCION
131/2017/01774;CENTRO;04/12/2016;OLEPGR;86.2 d);LEVE;300;18/01/2017;04/07/2017;SANCION
131/2017/01776;CENTRO;04/12/2016;OLEPGR;86.2 d);LEVE;300;18/01/2017;17/04/2017;SANCION
131/2017/01791;CENTRO;01/12/2016;OLEPGR;86.1 c);LEVE;250;18/01/2017;15/03/2017;SANCION
131/2017/01795;CENTRO;02/12/2016;OLEPGR;86.1 b);LEVE;250;18/01/2017;17/07/2017;SANCION
131/2017/01809;CENTRO;01/12/2016;OLEPGR;86.1 b);LEVE;250;18/01/2017;17/07/2017;SANCION
131/2017/01816;CENTRO;07/12/2016;OLEPGR;86.1 b);LEVE;250;18/01/2017;20/07/2017;SANCION
131/2017/02152;CENTRO;07/12/2016;OLEPGR;87.1 a);GRAVE;751;23/01/2017;26/06/2017;SANCION
131/2017/02157;CENTRO;06/02/2016;OLEPGR;87.1 a);GRAVE;751;23/01/2017;13/03/2017;SANCION
131/2017/02160;CENTRO;07/02/2016;OLEPGR;87.1 a);GRAVE;751;23/01/2017;27/06/2017;SANCION
131/2017/02169;CENTRO;13/02/2016;OLEPGR;87.1 a);GRAVE;751;23/01/2017;09/08/2017;SANCION
131/2017/02177;CENTRO;06/02/2016;OLEPGR;87.1 a);GRAVE;751;23/01/2017;18/04/2017;SANCION
131/2017/02218;CENTRO;17/12/2016;OLEPGR;86.2 d);LEVE;300;23/01/2017;16/03/2017;SANCION
131/2017/02239;CENTRO;16/12/2016;OLEPGR;86.1 b);LEVE;250;23/01/2017;18/07/2017;SANCION
131/2017/02723;CENTRO;22/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;14/03/2017;SANCION
131/2017/02724;CENTRO;18/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;14/03/2017;SANCION
131/2017/02725;CENTRO;22/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;17/07/2017;SANCION
131/2017/02726;CENTRO;22/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;27/03/2017;SANCION
131/2017/02727;CENTRO;11/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;23/06/2017;SANCION
131/2017/02728;CENTRO;02/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;22/06/2017;SANCION
131/2017/02729;CENTRO;02/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;19/04/2017;SANCION
131/2017/02730;CENTRO;02/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;07/04/2017;SANCION
131/2017/02731;CENTRO;02/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;26/06/2017;SANCION
131/2017/02732;CENTRO;02/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;29/06/2017;SANCION
131/2017/02733;CENTRO;02/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;27/04/2017;SANCION
131/2017/02735;CENTRO;02/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;27/03/2017;SANCION
131/2017/02736;CENTRO;07/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;26/06/2017;SANCION
131/2017/02748;CENTRO;23/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;09/08/2017;SANCION
131/2017/02751;CENTRO;21/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;25/04/2017;SANCION
131/2017/02752;CENTRO;22/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;16/03/2017;SANCION
131/2017/02754;CENTRO;22/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;29/06/2017;SANCION
131/2017/02755;CENTRO;08/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;25/04/2017;SANCION
131/2017/02757;CENTRO;08/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;28/06/2017;SANCION
131/2017/02758;CENTRO;02/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;30/03/2017;SANCION
131/2017/02759;CENTRO;22/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;13/03/2017;SANCION
131/2017/02761;CENTRO;22/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;16/06/2017;SANCION
131/2017/02762;CENTRO;22/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;31/05/2017;SANCION
131/2017/02763;CENTRO;21/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;28/06/2017;SANCION
131/2017/02764;CENTRO;21/05/2016;OLEPGR;87.1 a);GRAVE;751;30/01/2017;17/07/2017;SANCION
131/2017/03449;CENTRO;02/05/2016;OLEPGR;87.1 a);GRAVE;751;06/02/2017;03/04/2017;SANCION
131/2017/03457;CENTRO;02/05/2016;OLEPGR;87.1 a);GRAVE;751;06/02/2017;28/03/2017;SANCION
131/2017/03473;CENTRO;08/05/2016;OLEPGR;87.1 a);GRAVE;751;06/02/2017;24/04/2017;SANCION
